OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
WORLDVIEW-2 (WV-2),2009-055A,2026-05-26T20:53:35.032704,14.37937549,.00031259,98.4681,220.6145,287.6779,72.4067,0,U,35946,999,87258,.50995871E-4,.11E-5,0
SMOS,2009-059A,2026-05-26T15:29:57.052608,14.39759276,.00013125,98.4428,334.2965,91.7464,268.3875,0,U,36036,999,87035,.8820865E-4,.233E-5,0
YAOGAN-7,2009-069A,2026-05-26T16:41:37.018176,14.77984102,.00259247,98.0099,32.6927,107.5281,252.8765,0,U,36110,999,88645,.72460046E-4,.472E-5,0
TANDEM-X,2010-030A,2026-05-25T08:03:01.214208,15.19148813,.00015944,97.4455,153.3668,90.0120,270.1297,0,U,36605,999,88317,.20464519E-4,.363E-5,0
CARTOSAT-2B,2010-035A,2026-05-26T22:56:22.109280,14.78627669,.00100535,97.9968,197.6393,258.3440,101.6643,0,U,36795,999,85671,.45167285E-4,.278E-5,0
YAOGAN-10,2010-038A,2026-05-26T23:53:46.808160,14.85271767,.00015893,97.8993,170.5693,92.1591,328.2072,0,U,36834,999,85406,.13049255E-3,.1066E-4,0
COSMO-SKYMED 4,2010-060A,2026-05-26T23:24:33.469632,14.82147714,.00013671,97.8890,330.8834,82.0849,278.0519,0,U,37216,999,84142,.16879007E-4,.82E-6,0
RESOURCESAT-2,2011-015A,2026-05-26T21:41:31.013952,14.21607261,.00104366,98.7649,214.4915,323.3653,36.6809,0,U,37387,999,78315,.61815451E-4,.91E-6,0
HAIYANG-2A,2011-043A,2026-05-27T00:03:56.983968,13.74843742,.00067585,99.3398,150.1411,131.0825,229.0909,0,U,37781,999,74374,-.30221046E-3,-.331E-5,0
RASAT,2011-044D,2026-05-26T22:03:32.191776,14.68142693,.00191906,98.0561,238.6413,259.5289,191.4089,0,U,37791,999,79006,.11905372E-3,.637E-5,0
SRMSAT,2011-058D,2026-05-26T03:49:23.867328,14.11570317,.00116708,19.9702,192.8027,322.7286,67.7002,0,U,37841,999,75470,.66326809E-4,.387E-5,0
PLEIADES 1A,2011-076F,2026-05-26T22:23:16.603584,14.58553975,.00013141,98.1977,222.3202,105.1189,342.7199,0,U,38012,999,76889,.28839209E-4,.88E-6,0
ZIYUAN 1-02C (ZY 1-02C),2011-079A,2026-05-27T00:10:31.080288,14.38194169,.00068089,98.4079,214.7575,22.2878,100.8263,0,U,38038,999,75616,.94521348E-4,.244E-5,0
ARIRANG-3 (KOMPSAT-3),2012-025B,2026-05-26T22:56:33.031104,14.62184291,.00054538,98.1160,104.7844,166.6984,193.4363,0,U,38338,999,74824,.9837138E-4,.449E-5,0
EXACTVIEW-1 (ADS-1B),2012-039C,2026-05-26T19:47:57.199776,14.24977314,.00100871,98.9751,263.7355,229.2359,130.7945,0,U,38709,999,71966,.70343846E-4,.118E-5,0
SPOT 6,2012-047A,2026-05-26T22:21:07.859808,14.58546869,.00012994,98.2126,214.4876,97.6279,262.5068,0,U,38755,999,72995,.43351991E-4,.156E-5,0
PLEIADES 1B,2012-068A,2026-05-26T22:48:18.574272,14.58544049,.00013908,98.1947,222.2937,102.6929,257.4426,0,U,39019,999,71775,.5489729E-4,.209E-5,0
GOKTURK 2,2012-073A,2026-05-26T23:46:43.892256,14.75520036,.00021439,97.6838,345.4845,73.6309,286.5137,0,U,39030,999,72138,.16430077E-3,.1071E-4,0
LANDSAT 8,2013-008A,2026-05-26T20:59:11.116608,14.57120072,.00013727,98.1837,217.2715,102.9412,257.1940,0,U,39084,999,69479,.78614647E-4,.309E-5,0
SARAL,2013-009A,2026-05-26T22:50:53.473056,14.32850181,.0001925,98.5560,333.7884,24.9210,335.2066,0,U,39086,999,69256,.58785958E-4,.117E-5,0
GAOFEN-1,2013-018A,2026-05-26T23:41:39.370272,14.76548517,.00164743,97.9099,219.4851,339.2257,20.8282,0,U,39150,999,70511,.67580507E-4,.421E-5,0
VNREDSAT 1,2013-021B,2026-05-26T23:34:01.465824,14.64829177,.00015374,97.9094,201.2113,96.2952,263.8427,0,U,39160,999,69718,.61033448E-4,.28E-5,0
ARIRANG-5 (KOMPSAT-5),2013-042A,2026-05-26T22:47:55.986720,15.04515759,.00031307,97.6192,333.9492,185.4483,174.6710,0,U,39227,999,70066,.21366707E-3,.2932E-4,0
SKYSAT-A,2013-066C,2026-05-26T23:02:59.477568,15.12835211,.00221652,97.3831,197.0342,32.0350,328.2223,0,U,39418,999,68527,.20823031E-3,.3616E-4,0
DUBAISAT-2,2013-066D,2026-05-26T22:23:28.539744,15.09995511,.0012899,97.4552,137.6377,104.3272,255.9390,0,U,39419,999,68318,.31254658E-3,.5025E-4,0
GPM-CORE,2014-009C,2026-05-26T20:23:33.537408,15.45162332,.00118809,64.9740,19.6436,266.5235,93.4547,0,U,39574,999,69451,.25557677E-3,.11979E-3,0
SENTINEL-1A,2014-016A,2026-05-26T23:21:26.322048,14.59199732,.00013933,98.1786,154.8157,85.6930,274.4429,0,U,39634,999,64692,-.7043811E-5,-.79E-6,0
KAZEOSAT 1,2014-024A,2026-05-26T22:17:19.948704,14.42069282,.00015634,98.3209,219.9038,84.3850,275.7518,0,U,39731,999,63549,.12433696E-4,-.2E-7,0
ALOS-2,2014-029A,2026-05-26T21:39:31.836384,14.79468556,.00015826,97.9224,244.3718,91.3309,268.8084,0,U,39766,999,64843,.12313221E-3,.868E-5,0
KAZEOSAT 2,2014-033A,2026-05-26T22:39:21.402144,14.85441120,.00096696,97.5429,347.6780,37.4708,322.7180,0,U,40010,999,64580,.59865729E-4,.466E-5,0
HODOYOSHI-4,2014-033B,2026-05-26T23:42:08.369568,14.88069410,.00242063,97.5456,332.8349,19.3641,340.8491,0,U,40011,999,64565,.14770771E-3,.1312E-4,0
DEIMOS-2,2014-033D,2026-05-26T22:44:16.591200,14.93660423,.00024654,97.5864,22.1804,69.6576,290.4909,0,U,40013,999,63455,.23732776E-3,.2454E-4,0
HODOYOSHI-3,2014-033F,2026-05-26T23:09:45.656064,14.85337737,.00342266,97.6401,310.8634,65.7811,294.6975,0,U,40015,999,64447,.12784299E-3,.1058E-4,0
SPOT 7,2014-034A,2026-05-26T22:47:45.924576,14.60935690,.00012077,98.0640,209.9878,82.4452,277.6886,0,U,40053,999,63403,.67856162E-4,.287E-5,0
SKYSAT-B,2014-037D,2026-05-26T21:01:00.060960,14.87962139,.00055487,98.3825,104.6286,2.5003,357.6238,0,U,40072,999,64279,.16099082E-3,.1415E-4,0
WORLDVIEW-3 (WV-3),2014-048A,2026-05-26T20:59:52.497024,14.84980338,.0002382,97.8569,222.0021,59.5152,300.6298,0,U,40115,999,63874,.11035544E-3,.887E-5,0
GAOFEN-2,2014-049A,2026-05-26T23:02:19.203936,14.80872266,.00061962,98.0120,211.1865,310.4333,49.6338,0,U,40118,999,63609,.54053944E-4,.364E-5,0
YAOGAN-21,2014-053A,2026-05-26T23:38:53.885760,15.26009900,.00089262,97.1494,188.1349,156.5554,203.6094,0,U,40143,999,65172,.28381092E-3,.7239E-4,0
YAOGAN-22,2014-063A,2026-05-26T23:13:06.924000,13.15530655,.00058968,100.7695,297.8905,234.6744,125.3816,0,U,40275,999,55702,.61346841E-4,-.24E-6,0
