OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
BEIJING 1,2005-043A,2026-05-26T22:57:08.809344,14.63518125,.00145002,98.2877,280.0546,353.4233,6.6776,0,U,28890,999,9754,.95400337E-4,.446E-5,0
HUANJING 1A (HJ-1A),2008-041A,2026-05-26T22:13:47.859168,14.83931446,.00181274,97.6675,133.5890,204.1506,155.8860,0,U,33320,999,95525,.18701236E-3,.1507E-4,0
HUANJING 1B (HJ-1B),2008-041B,2026-05-26T22:52:40.969344,14.83275074,.00347126,97.6514,136.8505,252.7728,106.9686,0,U,33321,999,95526,.98593067E-4,.762E-5,0
YAOGAN-4,2008-061A,2026-05-26T18:44:39.954336,14.83152205,.00152185,97.9305,80.4507,136.0625,224.1802,0,U,33446,999,94249,.11991871E-3,.926E-5,0
DEIMOS-1,2009-041A,2026-05-26T22:57:08.832672,14.75212403,.00002403,97.7380,305.1077,115.0900,245.0334,0,U,35681,999,90375,.12193615E-3,.777E-5,0
UK-DMC 2,2009-041C,2026-05-26T22:32:40.475904,14.75988044,.00014675,97.8801,282.4294,75.9649,284.1724,0,U,35683,999,90343,.16086125E-3,.1058E-4,0
DMC3-FM1,2015-032A,2026-05-26T22:09:23.516640,14.85712121,.00068616,97.6494,12.9296,114.9932,245.1997,0,U,40715,999,58675,.15461606E-3,.1291E-4,0
DMC3-FM2,2015-032B,2026-05-26T22:41:15.294624,14.85716732,.00072546,97.6550,14.5102,119.7933,240.4005,0,U,40716,999,58675,.10048627E-3,.821E-5,0
DMC3-FM3,2015-032C,2026-05-26T21:37:39.245952,14.85703271,.00063704,97.6600,16.2069,118.9525,241.2330,0,U,40717,999,58675,.34422096E-4,.247E-5,0
