OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
USA 167,2003-008A,2026-05-26T06:02:38.747040,1.00275400,.00044993,10.9201,43.6078,314.8313,214.2196,0,U,27691,999,655,0,.2E-7,0
USA 169 (MILSTAR-2 4),2003-012A,2026-05-26T09:37:15.714048,1.00272955,.0101738,12.3182,30.0227,8.1292,142.2828,0,U,27711,999,3273,0,-.27E-5,0
ASIASAT 4,2003-014A,2026-05-26T19:14:38.804064,1.00269474,.00029022,4.6507,76.0078,358.7359,245.8003,0,U,27718,999,4508,0,-.219E-5,0
HELLAS-SAT 2,2003-020A,2026-05-26T13:55:03.207936,1.00271996,.00030778,7.3036,68.1405,339.5135,35.2504,0,U,27811,999,4263,0,-.82E-6,0
THURAYA-2,2003-026A,2026-05-26T19:18:25.001856,1.00274046,.00032226,8.8087,32.0678,0.0641,185.8592,0,U,27825,999,8413,0,.124E-5,0
OPTUS C1,2003-028B,2026-05-26T16:27:38.710944,1.00271692,.00059647,6.8385,69.6684,350.2690,226.9635,0,U,27831,999,5284,0,-.149E-5,0
USA 170,2003-040A,2026-05-23T22:46:03.243360,1.00274024,.0001818,10.4521,48.1798,3.4668,195.5313,0,U,27875,999,3275,0,.119E-5,0
GALAXY 13 (HORIZONS-1),2003-044A,2026-05-26T18:22:45.338592,1.00273654,.00021351,1.3645,84.1102,339.8467,306.0785,0,U,27954,999,4635,0,.136E-5,0
YAMAL 202,2003-053A,2026-05-26T14:44:31.740864,1.00271933,.00032705,6.2909,71.1936,334.6695,223.0040,0,U,28089,999,8248,0,-.78E-6,0
UFO 11 (USA 174),2003-057A,2026-05-26T17:44:44.111616,1.00273164,.00026323,8.9396,33.9380,46.7579,145.2744,0,U,28117,999,8223,0,-.105E-5,0
USA 176 (DSP 22),2004-004A,2026-05-26T03:12:42.754752,1.00413630,.00016713,12.0340,26.2386,311.6903,255.8453,0,U,28158,999,3271,0,-.304E-5,0
ABS-4 (MOBISAT-1),2004-007A,2026-05-26T20:25:38.690400,1.00274581,.00053235,5.9887,72.2614,353.6287,185.9660,0,U,28184,999,5212,0,.42E-6,0
INTELSAT 10-02,2004-022A,2026-05-26T19:05:33.734976,1.00268610,.00000937,0.0321,52.5431,2.9840,114.2357,0,U,28358,999,8034,0,-.8E-7,0
ANIK F2,2004-027A,2026-05-26T21:59:36.131424,1.00272193,.00045679,3.2339,79.7250,353.1046,30.4191,0,U,28378,999,4105,0,-.45E-6,0
AMC-15,2004-041A,2026-05-26T22:01:13.475712,1.00272556,.00024481,0.0209,314.4263,120.4109,34.8955,0,U,28446,999,7909,0,-.84E-6,0
NSS-10,2005-003A,2026-05-26T09:27:49.569408,1.00271445,.00030865,6.3975,70.7168,350.3443,287.4076,0,U,28526,999,5293,0,-.25E-5,0
INMARSAT 4-F1,2005-009A,2026-05-26T01:07:23.697984,1.00272161,.00028471,5.1401,42.7276,18.0066,17.8333,0,U,28628,999,7745,0,.32E-6,0
DIRECTV 8,2005-019A,2026-05-26T21:57:21.347424,1.00272543,.00032238,0.0143,350.5136,81.6987,22.5580,0,U,28659,999,7686,0,.5E-7,0
GALAXY 28 (G-28),2005-022A,2026-05-26T22:23:11.368608,1.00269339,.00032134,3.2463,79.1912,345.3008,128.6914,0,U,28702,999,5176,0,-.196E-5,0
THAICOM 4,2005-028A,2026-05-26T19:57:38.720160,1.00270916,.0002056,0.1918,86.2148,337.4516,239.6393,0,U,28786,999,5203,0,-.358E-5,0
