OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SL-16 R/B,1985-097B,2026-05-26T23:06:01.453248,14.16607346,.0006333,71.0032,335.7639,152.0827,9.9254,0,U,16182,999,9831,.5757302E-4,.67E-6,0
SL-14 R/B,1986-006B,2026-05-26T14:02:14.038080,14.86920956,.00767428,82.5271,186.4416,15.6325,344.7235,0,U,16496,999,16078,.51623133E-4,.514E-5,0
COSMOS 1743,1986-034A,2026-05-26T14:41:07.378080,15.64890787,.00044289,82.5288,351.6388,17.8218,342.3196,0,U,16719,999,19241,.36125637E-3,.35398E-3,0
SL-14 R/B,1986-046B,2026-05-26T16:01:33.148128,14.85654805,.00224029,82.4827,6.5111,333.8627,26.1456,0,U,16792,999,13798,.37678289E-4,.352E-5,0
SL-14 R/B,1986-055B,2026-05-26T19:05:40.405056,14.85704729,.00204331,82.5218,53.2423,74.9211,347.2121,0,U,16882,999,13096,.43378904E-4,.402E-5,0
AJISAI (EGS),1986-061A,2026-05-26T22:18:53.335008,12.44516472,.00113427,50.0083,212.7626,126.6935,281.7907,0,U,16908,999,47774,.44946749E-4,-.91E-6,0
SL-14 R/B,1987-024B,2026-05-26T17:45:51.450048,14.86196661,.00184013,82.5295,19.4096,7.2644,352.8835,0,U,17567,999,9972,.40342992E-4,.379E-5,0
COSMOS 1833,1987-027A,2026-05-26T12:24:54.975744,14.13035462,.00224226,70.9137,162.4201,91.1920,269.1770,0,U,17589,999,2131,.12633416E-3,.188E-5,0
SL-16 R/B,1987-027B,2026-05-26T23:17:11.770368,14.17169975,.00054492,71.0001,111.5374,337.6231,22.4654,0,U,17590,999,2643,-.66230428E-4,-.182E-5,0
SL-14 R/B,1987-038B,2026-05-26T16:59:15.283392,14.85429848,.00176808,82.5024,223.3027,266.3536,93.5659,0,U,17912,999,9081,.35883288E-4,.334E-5,0
COSMOS 1844,1987-041A,2026-05-26T16:20:25.005408,14.14567907,.00331778,70.8999,229.6688,265.8354,93.8976,0,U,17973,999,1461,.10777452E-3,.159E-5,0
SL-14 R/B,1987-055B,2026-05-26T20:57:25.646400,14.85691967,.00220528,82.4986,275.3210,113.5718,246.7817,0,U,18153,999,8154,.50703308E-4,.466E-5,0
COSMOS 1867,1987-060A,2026-05-26T23:10:05.982528,14.31513091,.00160747,65.0106,87.4903,281.8807,78.0475,0,U,18187,999,3114,.22497688E-4,-.4E-6,0
SL-14 R/B,1988-001B,2026-05-26T22:35:13.447968,14.85590723,.00175785,82.5115,121.7617,344.7537,15.3147,0,U,18749,999,5364,.52790096E-4,.482E-5,0
COSMOS 1933,1988-020A,2026-05-26T13:22:28.399296,15.18559314,.00022685,82.5125,173.8531,299.7476,60.3533,0,U,18958,999,6204,.16747779E-3,.3489E-4,0
SL-3 R/B,1988-032B,2026-05-26T22:11:00.927456,15.20645927,.00244359,97.5243,129.9910,324.6625,35.2989,0,U,19046,999,6399,.22252637E-3,.485E-4,0
